fra_Id,fra_Sede,fra_Type,fra_TypeSage,fra_numFactura,fra_Fecha,fra_Any,fra_Mes,fra_Semana,fra_Entidad,fra_descripcionEntidad,fra_Agrupacion,fra_baseImponible,fra_Iva,fra_Total,fra_fecha_cobro,fra_cobrado
19006,AA,FRA EMITIDA,,AAEAS/2021/00001,2020-12-31T23:00:00.000Z,2021,1,53,CLI00005,"E.A.S.I.G., S.A.U.",C300,5429.78,1140.26,6570.04,2021-01-31T23:00:00.000Z,6570.04
19007,AA,FRA EMITIDA,,AAEAS/2021/00002,2020-12-31T23:00:00.000Z,2021,1,53,CLI00005,"E.A.S.I.G., S.A.U.",C300,687.19,144.31,831.5,2021-01-31T23:00:00.000Z,831.5
19008,ED,FRA EMITIDA,,ABEDNG20/070,2020-12-31T23:00:00.000Z,2021,1,53,CLI00013,IMA IBERICA SEGUROS Y REASEGUR,C300,4.48,0,4.48,2021-01-03T23:00:00.000Z,4.48
19009,CP,FRA EMITIDA,,CPEAS/2021/00001,2020-12-31T23:00:00.000Z,2021,1,53,CLI00005,"E.A.S.I.G., S.A.U.",C300,2709.37,568.97,3278.34,2021-02-01T23:00:00.000Z,3278.34
19010,CP,FRA EMITIDA,,CPEAS/2021/00002,2020-12-31T23:00:00.000Z,2021,1,53,CLI00005,"E.A.S.I.G., S.A.U.",C300,1496.24,314.21,1810.45,2021-02-01T23:00:00.000Z,1810.45
19011,CP,FRA EMITIDA,,CPEAS/2021/00003,2020-12-31T23:00:00.000Z,2021,1,53,CLI00005,"E.A.S.I.G., S.A.U.",C300,1382.09,290.24,1672.33,2021-02-01T23:00:00.000Z,1672.33
19012,CP,FRA EMITIDA,,CPEAS/2021/00004,2020-12-31T23:00:00.000Z,2021,1,53,CLI00005,"E.A.S.I.G., S.A.U.",C300,100,21,121,2021-02-01T23:00:00.000Z,121
19013,CS,FRA EMITIDA,,CSEAS/2021/00001,2020-12-31T23:00:00.000Z,2021,1,53,CLI00005,"E.A.S.I.G., S.A.U.",C300,2948.22,619.13,3567.35,2021-01-11T23:00:00.000Z,3567.35
19014,CS,FRA EMITIDA,,CSEAS/2021/00002,2020-12-31T23:00:00.000Z,2021,1,53,CLI00005,"E.A.S.I.G., S.A.U.",C300,442.25,92.87,535.12,2021-01-11T23:00:00.000Z,535.12
19015,EB,FRA EMITIDA,,EBEAS/2021/00001,2020-12-31T23:00:00.000Z,2021,1,53,CLI00005,"E.A.S.I.G., S.A.U.",C300,2640.36,554.48,3194.84,2021-02-24T23:00:00.000Z,3194.84
19016,EB,FRA EMITIDA,,EBEAS/2021/00001.1,2020-12-31T23:00:00.000Z,2021,1,53,CLI00005,"E.A.S.I.G., S.A.U.",C300,1044.72,219.39,1264.11,2021-02-24T23:00:00.000Z,1264.11
19017,EG,FRA EMITIDA,,EGEAS/2021/00001,2020-12-31T23:00:00.000Z,2021,1,53,CLI00005,"E.A.S.I.G., S.A.U.",C300,2184.42,458.73,2643.15,2021-02-01T23:00:00.000Z,2643.15
19018,EG,FRA EMITIDA,,EGEAS/2021/00002,2020-12-31T23:00:00.000Z,2021,1,53,CLI00005,"E.A.S.I.G., S.A.U.",C300,1644.46,345.34,1989.8,2021-02-01T23:00:00.000Z,1989.8
19019,EG,FRA EMITIDA,,EGEAS/2021/00003,2020-12-31T23:00:00.000Z,2021,1,53,CLI00005,"E.A.S.I.G., S.A.U.",C300,119.95,25.19,145.14,2021-02-01T23:00:00.000Z,145.14
19020,EI,FRA EMITIDA,,EIEAS/2021/00001,2020-12-31T23:00:00.000Z,2021,1,53,CLI00005,"E.A.S.I.G., S.A.U.",C300,4196.4,881.24,5077.64,2021-02-01T23:00:00.000Z,5077.64
19021,LB,FRA EMITIDA,,LBEAS/2021/00001,2020-12-31T23:00:00.000Z,2021,1,53,CLI00005,"E.A.S.I.G., S.A.U.",C300,2326.16,488.49,2814.65,2021-02-01T23:00:00.000Z,2814.65
19022,LB,FRA EMITIDA,,LBEAS/2021/00002,2020-12-31T23:00:00.000Z,2021,1,53,CLI00005,"E.A.S.I.G., S.A.U.",C300,3152.99,662.13,3815.12,2021-02-01T23:00:00.000Z,3815.12
19023,LB,FRA EMITIDA,,LBEAS/2021/00003,2020-12-31T23:00:00.000Z,2021,1,53,CLI00005,"E.A.S.I.G., S.A.U.",C300,317.16,66.6,383.76,2021-02-01T23:00:00.000Z,383.76
19024,MC,FRA EMITIDA,,MCEAS/2021/00001,2020-12-31T23:00:00.000Z,2021,1,53,CLI00005,"E.A.S.I.G., S.A.U.",C300,1481.04,311.02,1792.06,2021-01-31T23:00:00.000Z,1792.06
19025,TS,FRA EMITIDA,,TSADATFS21-000001,2020-12-31T23:00:00.000Z,2021,1,53,CLI01335,TREASCA ASISTENCIA S.L.,C300,318.28,9.55,327.83,2021-03-29T22:00:00.000Z,327.83
19026,TS,FRA EMITIDA,,TSEAS/2021/00001,2020-12-31T23:00:00.000Z,2021,1,53,CLI00005,"E.A.S.I.G., S.A.U.",C300,1966.63,0,1966.63,2021-01-31T23:00:00.000Z,1966.63
19027,TS,FRA EMITIDA,,TSEAS/2021/00002,2020-12-31T23:00:00.000Z,2021,1,53,CLI00005,"E.A.S.I.G., S.A.U.",C300,449.91,0,449.91,2021-01-31T23:00:00.000Z,449.91
19028,TS,FRA EMITIDA,,TSEAS/2021/00003,2020-12-31T23:00:00.000Z,2021,1,53,CLI00005,"E.A.S.I.G., S.A.U.",C300,324.67,0,324.67,2021-01-31T23:00:00.000Z,324.67
19029,TS,FRA EMITIDA,,TSEAS/2021/00004,2020-12-31T23:00:00.000Z,2021,1,53,CLI00005,"E.A.S.I.G., S.A.U.",C300,134.65,0,134.65,2021-01-31T23:00:00.000Z,134.65
